PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
1,0,3,-0.565736461,0.432793366,-0.473673609,-0.502445171,TRUE,FALSE,TRUE
2,1,1,0.663861032,0.432793366,-0.473673609,0.786845294,FALSE,FALSE,FALSE
3,1,3,-0.258337088,-0.474545196,-0.473673609,-0.488854258,FALSE,FALSE,TRUE
4,1,1,0.433311502,0.432793366,-0.473673609,0.420730236,FALSE,FALSE,TRUE
5,0,3,0.433311502,-0.474545196,-0.473673609,-0.486337422,TRUE,FALSE,TRUE
6,0,3,-0.104637401,-0.474545196,-0.473673609,-0.478116429,TRUE,TRUE,FALSE
7,0,1,1.893458525,-0.474545196,-0.473673609,0.395813561,TRUE,FALSE,TRUE
8,0,3,-2.102733328,2.24747049,0.767629879,-0.224083121,TRUE,FALSE,TRUE
9,1,3,-0.181487244,-0.474545196,2.008933366,-0.424256141,FALSE,FALSE,TRUE
10,1,2,-1.180535208,0.432793366,-0.473673609,-0.042955502,FALSE,FALSE,FALSE
11,1,3,-1.949033641,0.432793366,0.767629879,-0.312172378,FALSE,FALSE,TRUE
12,1,1,2.200857898,-0.474545196,-0.473673609,-0.113845709,FALSE,FALSE,TRUE
13,0,3,-0.719436148,-0.474545196,-0.473673609,-0.486337422,TRUE,FALSE,TRUE
14,0,3,0.740710875,0.432793366,5.73284383,-0.018709312,TRUE,FALSE,TRUE
15,0,3,-1.180535208,-0.474545196,-0.473673609,-0.490279793,FALSE,FALSE,TRUE
16,1,2,1.970308369,-0.474545196,-0.473673609,-0.326266659,FALSE,FALSE,TRUE
17,0,3,-2.102733328,3.154809051,0.767629879,-0.061998889,TRUE,TRUE,FALSE
18,1,2,-0.104637401,-0.474545196,-0.473673609,-0.38667072,TRUE,FALSE,TRUE
19,0,3,0.125912129,0.432793366,-0.473673609,-0.285997284,FALSE,FALSE,TRUE
20,1,3,-0.104637401,-0.474545196,-0.473673609,-0.502948539,FALSE,FALSE,FALSE
21,0,2,0.433311502,-0.474545196,-0.473673609,-0.124919787,TRUE,FALSE,TRUE
22,1,2,0.356461659,-0.474545196,-0.473673609,-0.38667072,TRUE,FALSE,TRUE
23,1,3,-1.103685364,-0.474545196,-0.473673609,-0.486756223,FALSE,TRUE,FALSE
24,1,1,-0.104637401,-0.474545196,-0.473673609,0.066359742,TRUE,FALSE,TRUE
25,0,3,-1.641634268,2.24747049,0.767629879,-0.224083121,FALSE,FALSE,TRUE
26,1,3,0.663861032,0.432793366,5.73284383,-0.016444159,FALSE,FALSE,TRUE
27,0,3,-0.104637401,-0.474545196,-0.473673609,-0.502948539,TRUE,FALSE,FALSE
29,1,3,-0.104637401,-0.474545196,-0.473673609,-0.489776426,FALSE,TRUE,FALSE
30,0,3,-0.104637401,-0.474545196,-0.473673609,-0.48944219,TRUE,FALSE,TRUE
31,0,1,0.817560719,-0.474545196,-0.473673609,-0.090272017,TRUE,FALSE,FALSE
32,1,1,-0.104637401,0.432793366,-0.473673609,2.301728821,FALSE,FALSE,FALSE
33,1,3,-0.104637401,-0.474545196,-0.473673609,-0.492377828,FALSE,TRUE,FALSE
34,0,2,2.815656645,-0.474545196,-0.473673609,-0.437007438,TRUE,FALSE,TRUE
35,0,1,-0.104637401,0.432793366,-0.473673609,1.0060617,TRUE,FALSE,FALSE
36,0,1,0.971260405,0.432793366,-0.473673609,0.39858208,TRUE,FALSE,TRUE
37,1,3,-0.104637401,-0.474545196,-0.473673609,-0.502863973,TRUE,FALSE,FALSE
38,0,3,-0.642586304,-0.474545196,-0.473673609,-0.486337422,TRUE,FALSE,TRUE
39,0,3,-0.873135834,1.340131928,-0.473673609,-0.285997284,FALSE,FALSE,TRUE
40,1,3,-1.180535208,0.432793366,-0.473673609,-0.422073541,FALSE,FALSE,FALSE
41,0,3,0.817560719,0.432793366,-0.473673609,-0.457645492,FALSE,FALSE,TRUE
